region,area,sektor,target_count
Jakarta Pulogadung,SME Banking Floor Jakarta Pulogadung,Penyediaan Akomodasi dan Penyediaan Makan Minum,4
Jakarta Pulogadung,SME Banking Floor Jakarta Pulogadung,Lainnya,3
Jakarta Pulogadung,SME Banking Floor Jakarta Tanjung Priok,Industri Pengolahan,4
Jakarta Pulogadung,SME Banking Floor Jakarta Tanjung Priok,Perdagangan,7
Jakarta Pulogadung,SME Banking Floor Jakarta Tanjung Priok,Penyediaan Akomodasi dan Penyediaan Makan Minum,3
Jakarta Pulogadung,SME Banking Floor Jakarta Tanjung Priok,Lainnya,3
Bekasi,SME Banking Center Bekasi,Industri Pengolahan,5
Bekasi,SME Banking Center Bekasi,Konstruksi,2
Bekasi,SME Banking Center Bekasi,Perdagangan,9
Bekasi,SME Banking Center Bekasi,Lainnya,5
Bekasi,SME Banking Floor Jakarta Pondok Kelapa,Perdagangan,3
Bekasi,SME Banking Floor Jakarta Pondok Kelapa,Penyediaan Akomodasi dan Penyediaan Makan Minum,4
Bekasi,SME Banking Floor Jakarta Pondok Kelapa,Lainnya,15
Jakarta Kebon Sirih,SME Banking Floor Jakarta Cikini,Industri Pengolahan,4
Jakarta Kebon Sirih,SME Banking Floor Jakarta Cikini,Konstruksi,2
Jakarta Kebon Sirih,SME Banking Floor Jakarta Cikini,Perdagangan,2
Jakarta Kebon Sirih,SME Banking Floor Jakarta Cikini,Penyediaan Akomodasi dan Penyediaan Makan Minum,3
Jakarta Kebon Sirih,SME Banking Floor Jakarta Cikini,Lainnya,3
Jakarta Kebon Sirih,SME Banking Center Jakarta Kebon Sirih,Industri Pengolahan,8
Jakarta Kebon Sirih,SME Banking Center Jakarta Kebon Sirih,Konstruksi,5
Jakarta Kebon Sirih,SME Banking Center Jakarta Kebon Sirih,Perdagangan,5
Jakarta Kebon Sirih,SME Banking Center Jakarta Kebon Sirih,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Jakarta Kebon Sirih,SME Banking Center Jakarta Kebon Sirih,Lainnya,8
Jakarta Kebon Sirih,SME Banking Floor Jakarta Imam Bonjol,Industri Pengolahan,3
Jakarta Kebon Sirih,SME Banking Floor Jakarta Imam Bonjol,Konstruksi,3
Jakarta Kebon Sirih,SME Banking Floor Jakarta Imam Bonjol,Perdagangan,2
Jakarta Kebon Sirih,SME Banking Floor Jakarta Imam Bonjol,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Jakarta Kebon Sirih,SME Banking Floor Jakarta Imam Bonjol,Lainnya,5
Jakarta Kebon Sirih,SME Banking Floor Jakarta Thamrin,Industri Pengolahan,5
Jakarta Kebon Sirih,SME Banking Floor Jakarta Thamrin,Konstruksi,2
Jakarta Kebon Sirih,SME Banking Floor Jakarta Thamrin,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Jakarta Kebon Sirih,SME Banking Floor Jakarta Thamrin,Lainnya,3
Jakarta Kebon Sirih,SME Banking Floor Jakarta Plaza Mandiri,Industri Pengolahan,4
Jakarta Kebon Sirih,SME Banking Floor Jakarta Plaza Mandiri,Perdagangan,1
Jakarta Kebon Sirih,SME Banking Floor Jakarta Plaza Mandiri,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Jakarta Kebon Sirih,SME Banking Floor Jakarta Plaza Mandiri,Lainnya,7
Jakarta Kebon Sirih,SME Banking Floor Jakarta Sudirman,Industri Pengolahan,2
Jakarta Kebon Sirih,SME Banking Floor Jakarta Sudirman,Perdagangan,3
Jakarta Kebon Sirih,SME Banking Floor Jakarta Sudirman,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Jakarta Kebon Sirih,SME Banking Floor Jakarta Sudirman,Lainnya,7
Jakarta Jatinegara Timur,SME Banking Center Jakarta Jatinegara Timur,Perdagangan,2
Jakarta Jatinegara Timur,SME Banking Center Jakarta Jatinegara Timur,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Jakarta Jatinegara Timur,SME Banking Center Jakarta Jatinegara Timur,Lainnya,7
Jakarta Jatinegara Timur,SME Banking Floor Jakarta Pasar Rebo,Perdagangan,2
Jakarta Jatinegara Timur,SME Banking Floor Jakarta Pasar Rebo,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Jakarta Jatinegara Timur,SME Banking Floor Jakarta Pasar Rebo,Lainnya,5
Jakarta Fatmawati,SME Banking Floor Bogor,Industri Pengolahan,9
Jakarta Fatmawati,SME Banking Floor Bogor,Konstruksi,2
Jakarta Fatmawati,SME Banking Floor Bogor,Perdagangan,6
Jakarta Fatmawati,SME Banking Floor Bogor,Penyediaan Akomodasi dan Penyediaan Makan Minum,4
Jakarta Fatmawati,SME Banking Floor Bogor,Lainnya,3
Jakarta Fatmawati,SME Banking Floor Depok,Industri Pengolahan,1
Jakarta Fatmawati,SME Banking Floor Depok,Konstruksi,2
Jakarta Fatmawati,SME Banking Floor Depok,Perdagangan,2
Jakarta Fatmawati,SME Banking Floor Depok,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Jakarta Fatmawati,SME Banking Floor Depok,Lainnya,3
Jakarta Fatmawati,SME Banking Center Jakarta Fatmawati,Industri Pengolahan,3
Jakarta Fatmawati,SME Banking Center Jakarta Fatmawati,Perdagangan,1
Jakarta Fatmawati,SME Banking Center Jakarta Fatmawati,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
